i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
i d like to go to a restaurant in french polynesia	O O O O O O O B-restaurant_type O B-country I-country
i want to book the best pub for 6 in new mexico	O O O O O B-sort B-restaurant_type O B-party_size_number O B-state I-state
i want seating for five near the pool at the pub	O O O O B-party_size_number B-spatial_relation O B-facility O O B-restaurant_type
can you book reservations for jeanne and charlotte at a diner in mayotte	O O O O O B-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-country
find a table for five at harveys in de berry id on april the 10th	O O O O B-party_size_number O B-restaurant_name O B-city I-city B-state O B-timeRange I-timeRange I-timeRange
book a eggo serving brasserie for ten	O O B-served_dish O B-restaurant_type O B-party_size_number
book in bolivia a brasserie for tourte food	O O B-country O B-restaurant_type O B-served_dish O
book me a reservation for a bar that serves lobster roll in or	O O O O O O B-restaurant_type O O B-served_dish I-served_dish O B-state
i want a table for 4 in florida	O O O O O B-party_size_number O B-state
i need to reserve two seats to eat at in salina alabama	O O O O B-party_size_number O O O O O B-city B-state
i want to book a restaurant for supper in kellerton for 2	O O O O O B-restaurant_type O B-timeRange O B-city O B-party_size_number
restaurant in elberta for alma deana and olga at 18:49:20 that serves tsipouro	B-restaurant_type O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange O O B-cuisine
book me a restaurant	O O O B-restaurant_type
book a table for jasmine jeannie and leta	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a spot at a coffeehouse in new york with wifi at 8 pm	O O O O O B-restaurant_type O B-state I-state O B-facility O B-timeRange I-timeRange
book a reservation for bettye and lakeisha jimenez at a bar	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type
book a restaurant around thompson	O O B-restaurant_type B-spatial_relation B-poi
i m looking to reserve a table at a pasta restaurant in serbia	O O O O O O O O O B-served_dish B-restaurant_type O B-country
book a reservation for 4 at a bar serving corn relish	O O O O B-party_size_number O O B-restaurant_type O B-served_dish I-served_dish
i want to go to that popular ethiopian restaurant	O O O O O O B-sort B-cuisine B-restaurant_type
book a table for 04:45 pm at a restaurant in washington	O O O O B-timeRange I-timeRange O O B-restaurant_type O B-state
get me a table at the hand & flowers for sixteen hours	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange
me bobbie and colette want to go to the peak lookout in felicity	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city
i want to book a pub in juniper for 8 that serves bûche de noël	O O O O O B-restaurant_type O B-city O B-party_size_number O O B-served_dish I-served_dish I-served_dish
i want a table for seven at twenty three o clock in angola	O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-country
i need to book a restaurant with a smoking room in al	O O O O O B-restaurant_type O O B-facility I-facility O B-state
i want to take my parents and i to eat some romagna at a brasserie in north dakota	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-cuisine O O B-restaurant_type O B-state I-state
i need seats for five at a place five and a half months from now	O O O O B-party_size_number O O O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
book a reservation for one at an italian taverna for two pm in hutchings north dakota	O O O O B-party_size_number O O B-cuisine B-restaurant_type O B-timeRange I-timeRange O B-city B-state I-state
i want to find parking next to a restaurant for 10	O O O O B-facility O O O B-restaurant_type O B-party_size_number
book a restaurant for seven	O O B-restaurant_type O B-party_size_number
book a pub for eight people in the pitcairn islands	O O B-restaurant_type O B-party_size_number O O O B-country I-country
in apr i d like to eat at a pub manack montana with 4 people	O B-timeRange O O O O O O O B-restaurant_type B-city B-state O B-party_size_number O
i d like to eat with a party of 8 in hitchita or	O O O O O O O O O B-party_size_number O B-city B-state
i d like a bar with hawaiian food in nd	O O O O B-restaurant_type O B-cuisine O O B-state
i need a table for 4 at the brass rail	O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name
book a reservation for a top-rated lebanese fast food place	O O O O O B-sort B-cuisine B-restaurant_type I-restaurant_type O
i want a table for four for 2 years from now	O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant 2 months from now for seven people in new caledonia	O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number O O B-country I-country
i need a dinner reservation in three months for a restaurant in hills and dales	O O O O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type O B-city I-city I-city
book a highly rated place for my momy and i for mughlai food at a restaurant	O O B-sort I-sort O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-cuisine O O O B-restaurant_type
book a top-rated osteria seven weeks from now	O O B-sort B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange
restaurant near in town uses in two years	B-restaurant_type B-spatial_relation B-poi I-poi O B-timeRange I-timeRange I-timeRange
book for five in georgia at the coffee bean & tea leaf	O O B-party_size_number O B-state O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
please make a restaurant reservation for somewhere in mondovi connecticut	O O O B-restaurant_type O O O O B-city B-state
book a restaurant in goshenville pr for october 16 2038	O O B-restaurant_type O B-city B-state O B-timeRange I-timeRange I-timeRange
make me a reservation at taverna in a smoking room	O O O O O B-restaurant_type O O B-facility I-facility
book reservations at a faraway restaurant in newtown at meal time	O O O O B-spatial_relation B-restaurant_type O B-poi O B-timeRange O
book a highly rated coffeehouse for four people	O O B-sort I-sort B-restaurant_type O B-party_size_number O
book a reservation at a restaurant with me matilda and deana	O O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book the fashion café for elevenses	O O B-restaurant_name I-restaurant_name O B-timeRange
please book a uncommon grounds coffeehouse restaurant	O O O B-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type
book a spot at a highly rated pub in woodston	O O O O O B-sort I-sort B-restaurant_type O B-city
can you find me reservations for this morning at a restaurant that serves stracciatella	O O O O O O O B-timeRange O O B-restaurant_type O O B-served_dish
book a reservation for 8 at a restaurant that serves chicken fried bacon in aruba	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish O B-country
i need a reservation for four minutes from now for 3 people in the falkland islands	O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number O O O B-country I-country
me and robin need reservations for somewhere in palau	B-party_size_description I-party_size_description I-party_size_description O O O O O B-state
i would like to book a restaurant in lebanon	O O O O O O B-restaurant_type O B-country
book the best cafe on jan 18th 2035	O O B-sort B-restaurant_type O B-timeRange I-timeRange I-timeRange
find a reservation at sunset at a gastropub for 2 people	O O O O B-timeRange O O B-restaurant_type O B-party_size_number O
book a restaurant in indiana for me violet and dianne	O O B-restaurant_type O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book the electric banana in ewen for crystal and brittney	O B-restaurant_name I-restaurant_name I-restaurant_name O B-city O B-party_size_description I-party_size_description I-party_size_description
book a pub for two on jan first 2037	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange
book a spot for me and my great grandfather at a brasserie with a pool at 7 am	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-facility O B-timeRange I-timeRange
i need a reservation for january 9 at a restaurant that serves souvlaki nearby cypress av for a party of 1	O O O O O B-timeRange I-timeRange O O B-restaurant_type O O B-served_dish B-spatial_relation B-poi I-poi O O O O B-party_size_number
book a restaurant 163 days from now	O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange
book in ukraine at a highly rated restaurant	O O B-country O O B-sort I-sort B-restaurant_type
book a spot at a pub with tatar in cambodia	O O O O O B-restaurant_type O B-cuisine O B-country
i need a restaurant now for a party of ten	O O O B-restaurant_type B-timeRange O O O O B-party_size_number
i need to book a restaurant that serves sundanese in bonaire for 7	O O O O O B-restaurant_type O O B-cuisine O B-country O B-party_size_number
book a restaurant faraway from rwanda for two	O O B-restaurant_type B-spatial_relation O B-country O B-party_size_number
book a reservation for my parents and i at red crown tourist court in slovakia	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country
book a spot for me tiffany and sondra at a top-rated restaurant in ms with udupi	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-sort B-restaurant_type O B-state O B-cuisine
i need a reservation for 4 in illinois	O O O O O B-party_size_number O B-state
book a spot at a pub that has trottole for their meal	O O O O O B-restaurant_type O O B-served_dish O O B-timeRange
book a table for mamie and maria at a south tyrolean restaurant within walking distance from fisk av-69th st	O O O O B-party_size_description I-party_size_description I-party_size_description O O B-cuisine I-cuisine B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi
book a spot for my kids and i at a restaurant with frybread	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-served_dish
i need to book a table for 4	O O O O O O O B-party_size_number
book a table for iris ina and heidi around 9 pm	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
make me a reservation for july the tenth at the nosh bar for a party of two	O O O O O B-timeRange I-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name O O O O B-party_size_number
reserve a table for two for jun 13th in a neighboring bistro which serves mongolian food in northway	O O O O B-party_size_number O B-timeRange I-timeRange O O B-spatial_relation B-restaurant_type O O B-cuisine O O B-city
i need to book a table at the star inn that s within walking distance from my place in ashland	O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O O B-spatial_relation I-spatial_relation I-spatial_relation O O O O B-city
restaurant that is brasserie for 8 and has wifi	B-restaurant_type O O B-restaurant_type O B-party_size_number O O B-facility
book the bobcat bite	O O B-restaurant_name I-restaurant_name
i need a reservation for four at a restaurant	O O O O O B-party_size_number O O B-restaurant_type
want to eat at diners of allentown pennsylvania on purim	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange
book the cityzen for six people	O O B-restaurant_name O B-party_size_number O
i need to book a restaurant for eight nearby limerick one year from now that serves jerky	O O O O O B-restaurant_type O B-party_size_number B-spatial_relation B-city B-timeRange I-timeRange I-timeRange I-timeRange O O B-served_dish
book a table at a bar in moody for deloris ester and petra alvarez	O O O O O B-restaurant_type O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i want to book a table for a party of 4 at a taverna next spring	O O O O O O O O O O B-party_size_number O O B-restaurant_type B-timeRange I-timeRange
book a reservation for a restaurant in wadsworth with parking	O O O O O B-restaurant_type O B-city O B-facility
book an outdoor restaurant in md at 11 pm for 8	O O B-facility B-restaurant_type O B-state O B-timeRange I-timeRange O B-party_size_number
asiate restaurant in sturgeon for 7	B-restaurant_name B-restaurant_type O B-city O B-party_size_number
book a spot at colony	O O O O B-restaurant_name
get me a reservation at a brasserie that serves jain in pinto	O O O O O O B-restaurant_type O O B-cuisine O B-city
find a reservation for a tavern that serves pizzas for a party of 6	O O O O O B-restaurant_type O O B-served_dish O O O O B-party_size_number
i d like to book the best restaurant in as	O O O O O O B-sort B-restaurant_type O B-state
book a top-rated restaurant in milton-freewater	O O B-sort B-restaurant_type O B-city
book a spot for six at a restaurant in nj	O O O O B-party_size_number O O B-restaurant_type O B-state
i need fast food for nine within the same area as bowers that has a pool nearby on 4/17/2033	O O B-restaurant_type I-restaurant_type O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-city O O O B-facility B-spatial_relation O B-timeRange
book a distant restaurant that serves blini on 103rd st for 6 people	O O B-spatial_relation B-restaurant_type O O B-served_dish O B-poi I-poi O B-party_size_number O
book me a lunch at boreas for a party of 8	O O O B-timeRange O B-restaurant_name O O O O B-party_size_number
book a spot at a restaurant faraway from 138th st	O O O O O B-restaurant_type B-spatial_relation O B-poi I-poi
find me a table for two at seven somewhere in australia	O O O O O B-party_size_number O B-timeRange O O B-country
book a food truck for greek food for 7	O O B-restaurant_type I-restaurant_type O B-cuisine O O B-party_size_number
book a pub with a pool in white heath south carolina	O O B-restaurant_type O O B-facility O B-city I-city B-state I-state
book reservations at a north indian bar for 4 people	O O O O B-cuisine I-cuisine B-restaurant_type O B-party_size_number O
book me a restaurant in henlopen acres for a party of two	O O O B-restaurant_type O B-city I-city O O O O B-party_size_number
i would like to book a fry sauce bar for jul 3 2019	O O O O O O B-served_dish I-served_dish B-restaurant_type O B-timeRange I-timeRange I-timeRange
i would like to book a food truck for my friend and i	O O O O O O B-restaurant_type I-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
me and deanna want to book a restaurant in malawi	B-party_size_description I-party_size_description I-party_size_description O O O O B-restaurant_type O B-country
i would like to book a restaurant neighboring lincoln beach	O O O O O O B-restaurant_type B-spatial_relation B-city I-city
find me a nice restaurant in mulvane	O O O O B-restaurant_type O B-city
need to book a restaurnt for a party of nine on thomas jefferson s birthday	O O O O O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange
book a reservation at a restaurant nearby their airbnb	O O O O O B-restaurant_type B-spatial_relation B-poi I-poi
book a table for ten people at a restaurant which serves snack	O O O O B-party_size_number O O O B-restaurant_type O O B-served_dish
book for 10 in a restaurant	O O B-party_size_number O O B-restaurant_type
book a restaurant close by downtown for nine in seven months	O O B-restaurant_type B-spatial_relation I-spatial_relation B-poi O B-party_size_number B-timeRange I-timeRange I-timeRange
book a table for 2 guests at a restaurant in lazy mountain ny	O O O O B-party_size_number O O O B-restaurant_type O B-city I-city B-state
book reservation at the big chill cafe in ar for 10 people	O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-party_size_number O
i need to book a restaurant for seven people at elevenses seafood restaurant	O O O O O B-restaurant_type O B-party_size_number O O B-timeRange B-restaurant_name I-restaurant_name
book a restaurant for cupcakes for ten	O O B-restaurant_type O B-served_dish O B-party_size_number
book a table for 3 at a top-rated restaurant	O O O O B-party_size_number O O B-sort B-restaurant_type
book me a reservation for the brazen head in hecker	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city
i want a reservation for 11:16:07 at the fort in south carolina	O O O O O B-timeRange O B-restaurant_name I-restaurant_name O B-state I-state
i want to book a cafeteria in el reno that serves javanese	O O O O O B-restaurant_type O B-city I-city O O B-cuisine
book a table at an indoor restaurant now	O O O O O B-facility B-restaurant_type B-timeRange
i need to book a pub for 8 that has wifi	O O O O O B-restaurant_type O B-party_size_number O O B-facility
i want to take nine people to a diner close to the spa	O O O O B-party_size_number O O O B-restaurant_type B-spatial_relation O O B-facility
book a bar for six on july eighth 2023 in the same area in equatorial guinea which serves rillettes	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-country I-country O O B-served_dish
i want to find a highly rated delicatessen in childersburg de for one next february	O O O O O B-sort I-sort B-restaurant_type O B-city B-state O B-party_size_number B-timeRange I-timeRange
book a table for two in oklahoma	O O O O B-party_size_number O B-state
i d like to eat at a popular diner	O O O O O O O B-sort B-restaurant_type
need a table for a party of eight one hour from now in exira sd in a pub that serves oysters rockefeller	O O O O O O O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange O B-city B-state O O B-restaurant_type O O B-served_dish I-served_dish
i need a party of two reservation faraway from atlantic av-barclays ctr at a spa for fast food	O O O O O B-party_size_number O B-spatial_relation O B-poi I-poi I-poi O O B-facility O B-restaurant_type I-restaurant_type
book a spot for 9 at a churrascaria that serves ammonia cookie in volga	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish I-served_dish O B-city
book a restaurant for tortelloni for eight	O O B-restaurant_type O B-served_dish O B-party_size_number
book a party of 4 at eddie’s attic	O O O O B-party_size_number O B-restaurant_name I-restaurant_name
i would like to book a bistro for 7	O O O O O O B-restaurant_type O B-party_size_number
i want to book a churrascaria restaurant for ten people	O O O O O B-restaurant_type O O B-party_size_number O
book a breakfast in a restaurant for eight	O O B-timeRange O O B-restaurant_type O B-party_size_number
book a reservation for leticia melva and twila edwards at glassy junction for five pm within the same area of our secondary residence	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi
schedule the food truck to be at your place in the distant future	O O B-restaurant_type I-restaurant_type O O O B-poi I-poi O O B-spatial_relation O
book a bar close by with a smoking room in ma	O O B-restaurant_type B-spatial_relation I-spatial_relation O O B-facility I-facility O B-state
book me a restaurant at sint maarten on sun	O O O B-restaurant_type O B-country I-country O B-timeRange
book a carolina style restaurant in north korea for my grandkid and i	O O B-served_dish I-served_dish B-restaurant_type O B-country I-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a table for my granddaughter and i at the highly rated restaurant that is close by in tuvalu	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-sort I-sort B-restaurant_type O O B-spatial_relation I-spatial_relation O B-country
book trentino serving bar for 4	O B-cuisine O B-restaurant_type O B-party_size_number
can you get me seating for a party of 5	O O O O O O O O O B-party_size_number
book me a bar that has chicken fried bacon in vermont	O O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish O B-state
would like a table right now for leonor mendoza imogene and lisa sanchez	O O O O O B-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i want to book a table at the commons restaurant in south pekin new hampshire for a party of 10 on january the 24th	O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-city I-city B-state I-state O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange
i need a bar for four that serves argentinian in d iberville wy for twelve pm	O O O B-restaurant_type O B-party_size_number O O B-cuisine O B-city I-city B-state O B-timeRange I-timeRange
book a gastropub serves waffle for 8	O O B-restaurant_type O B-served_dish O B-party_size_number
can you book a table for eight people at a spa type restaurant within walking distance of the metropolitan borough of lambeth	O O O O O O B-party_size_number O O O B-facility O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O O B-poi I-poi I-poi I-poi
i need a reservation in decaturville for six people	O O O O O B-city O B-party_size_number O
book a neighboring food truck with a spa in dallesport for 4 people	O O B-spatial_relation B-restaurant_type I-restaurant_type O O B-facility O B-city O B-party_size_number O
i want to go to the pub with angelita susan reed and ashlee watson after us parking	O O O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-facility
book a spot for 9 in thirty three days at ringlestone inn close to grenada	O O O O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange O B-restaurant_name I-restaurant_name B-spatial_relation O B-country
book a restaurant for 5 people	O O B-restaurant_type O B-party_size_number O
i d like a table for my step grandfather and i at five fifty-five in nv	O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name O B-state
book a restaurant that serves meze in roseville fl with meredith louisa and corrine	O O B-restaurant_type O O B-served_dish O B-city B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
can you get me seating at a pub in south korea that serves milk toast for supper	O O O O O O O B-restaurant_type O B-country I-country O O B-served_dish I-served_dish O B-timeRange
i need to book a popular pastelaria restaurant in svalbard and jan mayen for a party of eight	O O O O O B-sort B-cuisine B-restaurant_type O B-country I-country I-country I-country O O O O B-party_size_number
i want to make a reservation for a group of 4 at a churrascaria type spa	O O O O O O O O O O B-party_size_number O O B-restaurant_type O B-facility
book reservations at a nearby restaurant in montenegro for four people	O O O O B-spatial_relation B-restaurant_type O B-country O B-party_size_number O
i want to make a reservation at a sushi restaurant	O O O O O O O O B-served_dish B-restaurant_type
i need a table in iron gates in one minute at the weathervane restaurant	O O O O O B-city I-city B-timeRange I-timeRange I-timeRange O O B-restaurant_name I-restaurant_name
i need a table for 5 at the restaurant i ate at last oct	O O O O O B-party_size_number O O B-restaurant_type O O O B-timeRange I-timeRange
table for 6 at a bar	O O B-party_size_number O O B-restaurant_type
book a table for 1 1 second from now in adelaide	O O O O B-party_size_number B-timeRange I-timeRange I-timeRange I-timeRange O B-city
need a table at a highly rated restaurant within walking distance from downtown for luisa and i	O O O O O B-sort I-sort B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation O B-poi O B-party_size_description I-party_size_description I-party_size_description
book a brasserie restaurant in enfield north dakota for rosie and i that has tarte tatin	O O B-restaurant_type I-restaurant_type O B-city B-state I-state O B-party_size_description I-party_size_description I-party_size_description O O B-served_dish I-served_dish
table for 5 am at baker’s keyboard lounge	O O B-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name
book reservations at a tea house with esperanza and tommie now	O O O O B-restaurant_type I-restaurant_type O B-party_size_description I-party_size_description I-party_size_description B-timeRange
need to book a restaurant in pa in the city of old orchard beach	O O O O B-restaurant_type O B-state O O O O B-city I-city I-city
book me a restaurant in cyprus at a pub	O O O B-restaurant_type O B-country O O B-restaurant_type
book a table for kirsten price audra and i faraway from our location at an outdoor taverna	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description B-spatial_relation O B-poi I-poi O O B-facility B-restaurant_type
i need a reservation for two at a diner in venezuela	O O O O O B-party_size_number O O B-restaurant_type O B-country
book a reservation for louisiana fried chicken this winter in taiwan	O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-timeRange I-timeRange O B-country
find and book me a taverna restaurant in gilluly that serves lobster newberg	O O O O O B-restaurant_type I-restaurant_type O B-city O O B-served_dish I-served_dish
book a popular food truck in kentucky	O O B-sort B-restaurant_type I-restaurant_type O B-state
book a brasserie with parking for 1	O O B-restaurant_type O B-facility O B-party_size_number
i need a reservation for next week with a party of six	O O O O O B-timeRange I-timeRange O O O O B-party_size_number
book a restaurant at a steakhouse around in town that serves empanada for me and my son	O O B-restaurant_type O O B-restaurant_type B-spatial_relation B-poi I-poi O O B-served_dish O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
please book seating for one person at an indoor restaurant that serves breakfast in nicholasville tennessee	O O O O B-party_size_number O O O B-facility B-restaurant_type O O B-timeRange O B-city B-state
book a restaurant in everson nevada that serves conchiglie for two people	O O B-restaurant_type O B-city B-state O O B-served_dish O B-party_size_number O
book a restaurant in papua new guinea for me and my daughters	O O B-restaurant_type O B-country I-country I-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book an outdoor place for 11/1/2033 in town within walking distance of a brasserie for nine	O O B-facility O O B-timeRange B-poi I-poi B-spatial_relation I-spatial_relation I-spatial_relation O O B-restaurant_type O B-party_size_number
i need seating for ten people at a bar that serves czech cuisine	O O O O B-party_size_number O O O B-restaurant_type O O B-cuisine O
book me a table at the restaurant at meadowood within the same area in kentucky	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-state
i want to book an oyster bar for five people	O O O O O B-restaurant_type I-restaurant_type O B-party_size_number O
i want to eat ice cream at a brasserie with me and my mother in law	O O O O B-served_dish I-served_dish O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a reservation for four at the best brasserie in venezuela	O O O O B-party_size_number O O B-sort B-restaurant_type O B-country
let me get reservations for a party of three at a bar with a pool	O O O O O O O O B-party_size_number O O B-restaurant_type O O B-facility
book the crown at whitebrook in ri for 2 people	O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-party_size_number O
book a reservation for one at a highly rated restaurant in datil	O O O O B-party_size_number O O B-sort I-sort B-restaurant_type O B-city
book a spot for 9 at dinner in the sky in sc	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state
i need a restaurant that can accommodate a party of ten in avant	O O O B-restaurant_type O O O O O O B-party_size_number O B-city
find me a table for 1 at a restaurant with a pool at 3 am in hitchcock fl	O O O O O B-party_size_number O O B-restaurant_type O O B-facility O B-timeRange I-timeRange O B-city B-state
find a reservation for three at a top-rated restaurant	O O O O B-party_size_number O O B-sort B-restaurant_type
i d like to eat at the best southeastern brazilian restaurant with five people	O O O O O O O B-sort B-cuisine I-cuisine B-restaurant_type O B-party_size_number O
i want an indoor restaurant for a party of five in columbus junction	O O O B-facility B-restaurant_type O O O O B-party_size_number O B-city I-city
i d like a restaurant on 6/1/2027 for 5 people in iowa city	O O O O B-restaurant_type O B-timeRange O B-party_size_number O O B-city I-city
book me a reservation for 6 at a highly rated pub	O O O O O B-party_size_number O O B-sort I-sort B-restaurant_type
book a table for my great grandfather and i at a place in booker ak	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-city B-state
stacy watson and adriana want to go to the best osteria in hallowell minnesota this afternoon	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-sort B-restaurant_type O B-city B-state O B-timeRange
i need a reservation for a restaurant now with a party of 9 in hilt	O O O O O O B-restaurant_type B-timeRange O O O O B-party_size_number O B-city
book for sherry and concepcion in nunam iqua at the best restaurant	O O B-party_size_description I-party_size_description I-party_size_description O B-city I-city O O B-sort B-restaurant_type
book a restaurant on san jacinto day in anderson for me and my colleagues	O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a spot for 3 at a bar in antarctica	O O O O B-party_size_number O O B-restaurant_type O B-country
book restaurant for party of 7 at a pub in ford heights	O B-restaurant_type O O O B-party_size_number O O B-restaurant_type O B-city I-city
lets go to a bistro in sd	O O O O B-restaurant_type O B-state
i would like to book a tea house at 08:05	O O O O O O B-restaurant_type I-restaurant_type O B-timeRange
take me a top-rated restaurant for nine close to westfield delaware	O O O B-sort B-restaurant_type O B-party_size_number B-spatial_relation O B-city B-state
book a table at t-rex distant from halsey st	O O O O B-restaurant_name B-spatial_relation O B-poi I-poi
book a eastern european cuisine restaurant in midday for four in meers mp	O O B-cuisine I-cuisine O B-restaurant_type O B-timeRange O B-party_size_number O B-city B-state
book a spot for one at the wolseley at elevenses	O O O O B-party_size_number O B-restaurant_name I-restaurant_name O B-timeRange
book a restaurant in el salvador for 10 people	O O B-restaurant_type O B-country I-country O B-party_size_number O
i d like to eat at a taverna that serves chili con carne for a party of 10	O O O O O O O B-restaurant_type O O B-served_dish I-served_dish I-served_dish O O O O B-party_size_number
book the middle east restaurant in in for noon	O B-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type O B-state O B-timeRange
i want a table for 2 at a restaurant late at night	O O O O O B-party_size_number O O B-restaurant_type O O B-timeRange
make me a reservation for a party of 2	O O O O O O O O B-party_size_number
book me a restaurant that is close for four people in enid	O O O B-restaurant_type O O B-spatial_relation O B-party_size_number O O B-city
i would like an outdoor cafeteria for 3	O O O O B-facility B-restaurant_type O B-party_size_number
book a restaurant neighboring il for me rachelle and wilda	O O B-restaurant_type B-spatial_relation B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
make me a reservation for a party of eight in ledoux	O O O O O O O O B-party_size_number O B-city
book a table for two for this autumn	O O O O B-party_size_number O B-timeRange I-timeRange
i have a party of 8 and we want to go to a restaurant that serves croquembouche	O O O O O B-party_size_number O O O O O O O B-restaurant_type O O B-served_dish
on april the twenty-seventh 2022 i d like to make reservations at a spanish diner	O B-timeRange I-timeRange I-timeRange I-timeRange O O O O O O O O B-cuisine B-restaurant_type
i want to eat a highly rated breakfast restaurant	O O O O O B-sort I-sort B-timeRange B-restaurant_type
please book reservations at a restaurant that serves empanada party for three with betty and dolly	O O O O O B-restaurant_type O O B-served_dish O O O O B-party_size_description I-party_size_description I-party_size_description
