i want to fly from baltimore to dallas round trip	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
show me which flights from san francisco to pittsburgh on a monday are first class	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O B-class_type I-class_type
what is the earliest flight that eastern has between boston and washington	O O O B-flight_mod O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
what is the earliest flight in the morning from boston to pittsburgh	O O O B-flight_mod O O O B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
show me ground transportation in denver during weekdays	O O O O O B-city_name O O
can you list costs of denver rental cars	O O O O O B-city_name B-transport_type I-transport_type
i'd like to fly from philadelphia to san francisco through dallas	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-stoploc.city_name
list all flights from baltimore to philadelphia	O O O O B-fromloc.city_name O B-toloc.city_name
what's the earliest flight from boston to philadelphia	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
sunday flights from new york city to las vegas	B-depart_date.day_name O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me flights from miami to new york leaving on a sunday first class	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-depart_date.day_name B-class_type I-class_type
what is fare code h	O O O O B-fare_basis_code
may i have a listing of flights from long beach to columbus ohio on tuesday	O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name
i'd like the cheapest one way fare from boston to san francisco	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
i'd like a list of the flights from oakland to dallas fort worth on sunday	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name
tell me about flights from toronto to salt lake city leaving after 530 pm	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time
let's see how much would a direct flight from atlanta to denver be on may seventh	O O O O O O B-connect O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number
what is the ground transportation available in denver	O O O O O O O B-city_name
i need a cheap flight from baltimore to san francisco	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
on april fifteenth i would like an early morning flight from boston to atlanta	O B-depart_date.month_name B-depart_date.day_number O O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
do you have a flight from atlanta to charlotte north carolina next monday	O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name B-depart_date.date_relative B-depart_date.day_name
does us air have any flights out of atlanta to denver	O B-airline_name I-airline_name O O O O O B-fromloc.city_name O B-toloc.city_name
what's the earliest flight from boston to bwi that serves lunch	O O B-flight_mod O O B-fromloc.city_name O B-toloc.airport_code O O B-meal_description
give me all nonstops from new york city to las vegas that arrive on a sunday	O O O B-flight_stop O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name
morning flight from oakland to dallas	B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
i live in denver and i'd like to make a trip to atlanta	O O O B-fromloc.city_name O O O O O O O O B-toloc.city_name
find travel arrangements for a round trip flight from boston to pittsburgh	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
i need a flight from new york city to montreal tomorrow	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative
show me fares from dallas to baltimore that cost less than 300 dollars	O O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative O B-fare_amount I-fare_amount
i want to know what flights you have available coach or economy class from baltimore to dallas	O O O O O O O O O B-class_type B-or B-economy I-economy O B-fromloc.city_name O B-toloc.city_name
i want to leave from philadelphia and go to atlanta baltimore and boston please list these flights	O O O O O B-fromloc.city_name O O O B-toloc.city_name B-toloc.city_name O B-toloc.city_name O O O O
i need a flight from boston to denver	O O O O O B-fromloc.city_name O B-toloc.city_name
show me the aircraft that canadian airlines uses	O O O O O B-airline_name I-airline_name O
list the flights that arrive and depart from general mitchell international airport	O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name
i want a flight from ontario to chicago	O O O O O B-fromloc.city_name O B-toloc.city_name
how much is a round trip first class fare between boston and washington	O O O O B-round_trip I-round_trip B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
show me the flights from san diego to newark	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
list all daily flights between boston and oakland using delta airlines	O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
show me all flights from denver to burbank	O O O O O B-fromloc.city_name O B-toloc.city_name
what flights are available saturday to san francisco from dallas	O O O O B-depart_date.day_name O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name
flights from baltimore to philadelphia where the round trip fare is less than 1000 dollars	O O B-fromloc.city_name O B-toloc.city_name O O B-round_trip I-round_trip O O B-cost_relative O B-fare_amount I-fare_amount
tuesday morning flights between charlotte and baltimore	B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
show me the flights from atlanta to boston	O O O O O B-fromloc.city_name O B-toloc.city_name
please list all flights on northwest and united airlines that go to denver	O O O O O B-airline_name O B-airline_name I-airline_name O O O B-toloc.city_name
i want to go between boston and san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what flights from memphis to miami on wednesday	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
show me all the united flights from boston to denver	O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
please show me airfare of flight us 345 from boston to pittsburgh	O O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name
list the flights on sunday afternoon from oakland to dallas	O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
in dallas fort worth i would like information on ground transportation	O B-city_name I-city_name I-city_name O O O O O O O
okay tell me what the earliest flight is that leaves between atlanta and denver	O O O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name
i want an early morning flight between philadelphia and pittsburgh on tuesday morning	O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
list flights between boston and san francisco that serve breakfast	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-meal_description
what flights does us air have from san francisco to pittsburgh on tuesday	O O O B-airline_name I-airline_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what is the latest flight from boston to denver that serves a meal	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O B-meal
give me the round trip coach fare from dallas to baltimore	O O O B-round_trip I-round_trip B-class_type O O B-fromloc.city_name O B-toloc.city_name
pittsburgh to denver	B-fromloc.city_name O B-toloc.city_name
what is the cost of flights from denver to san francisco	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me the flights from atlanta to washington dc on thursday evening	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name B-depart_time.period_of_day
show me all flights from san francisco to washington dc area	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code O
how many flights does continental airlines have with a class of service code f	O O O O B-airline_name I-airline_name O O O O O O O B-fare_basis_code
i want to fly from atlanta to philadelphia	O O O O O B-fromloc.city_name O B-toloc.city_name
flights from new york to miami	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what flights are provided by delta airlines	O O O O O B-airline_name I-airline_name
list daily flights from denver to baltimore with first class service	O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O B-class_type I-class_type O
show me all midwest express flights from detroit to chicago	O O O B-airline_name O O O B-fromloc.city_name O B-toloc.city_name
show me the flights on friday from newark to tampa	O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name
list flights from boston to pittsburgh leaving early in the morning on august sixth	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_mod O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number
what are the coach class fares on flights from pittsburgh to atlanta	O O O B-class_type I-class_type O O O O B-fromloc.city_name O B-toloc.city_name
is breakfast served on flight ua 343 from boston to denver coach class	O B-meal_description O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name B-class_type I-class_type
is there a flight leaving from boston to atlanta	O O O O O O B-fromloc.city_name O B-toloc.city_name
yes i'm looking for a flight between oakland and boston with a stopover in dallas fort worth do you have one of those	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name O O O O O O
show me the flights leaving from atlanta for washington dc on thursday morning	O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name B-depart_time.period_of_day
show me all flights from san francisco to la guardia nonstop	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name B-flight_stop
what's the cheapest flight from denver to pittsburgh	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
what are all monday flights from denver to san francisco on united airlines	O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
which airlines fly between boston and philadelphia	O O O O B-fromloc.city_name O B-toloc.city_name
display all the flights from baltimore to dallas which leave after 4 pm	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
what afternoon flights are available from denver to san francisco on wednesdays	O B-depart_time.period_of_day O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
do you have a flight from philadelphia to san francisco with a stopover in dallas	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
i'm starting from denver	O O O B-fromloc.city_name
find a flight from toronto to san diego with a layover in dc on delta airlines	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.state_code O B-airline_name I-airline_name
list nonstop flights on sunday from new york to las vegas and list nonstop flights on sunday from memphis to las vegas	O B-flight_stop O O B-arrive_date.day_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-flight_stop O O B-arrive_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the earliest flight between pittsburgh and denver that serves breakfast	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description
please list the cost of all flights from philadelphia to denver airport next sunday	O O O O O O O O B-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name B-depart_date.date_relative B-depart_date.day_name
a flight on continental airlines leaving boston and going to denver	O O O B-airline_name I-airline_name O B-fromloc.city_name O O O B-toloc.city_name
show me all flights arriving to denver from baltimore oakland and boston	O O O O O O B-toloc.city_name O B-fromloc.city_name B-fromloc.city_name O B-fromloc.city_name
show me the cheapest fares from miami to new york leaving on a sunday	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-depart_date.day_name
can you show me the cheapest round trip flights between denver and pittsburgh	O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
what are the flights from boston to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me the flights from denver to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
display all flights from boston to baltimore on july thirty first	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
show me all flights from baltimore to philadelphia	O O O O O B-fromloc.city_name O B-toloc.city_name
i would like to find a flight that goes from la guardia airport to san jose i would like the flight to be on united airlines and arrive in san jose around 10 pm	O O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name I-toloc.city_name O O O O O O O O B-airline_name I-airline_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
i would like a flight from denver to pittsburgh	O O O O O O B-fromloc.city_name O B-toloc.city_name
do you have a flight from charlotte to atlanta next tuesday	O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name
list flights from pittsburgh to san francisco	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me flights from seattle to san francisco that leave after 5 pm	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
i would like to book a flight for may twenty sixth going from tampa to milwaukee a direct flight if possible	O O O O O O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-fromloc.city_name O B-toloc.city_name O B-connect O O O
list all flights leaving on thursday morning from new york city to montreal	O O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
find me the flights that are nonstop between boston and dallas that leave between 12 and 2 in the afternoon	O O O O O O B-flight_stop O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.start_time O B-depart_time.end_time O O B-depart_time.period_of_day
what flights from las vegas to san diego	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
give me the flights from san francisco to washington dc for december first	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.month_name B-depart_date.day_number
show me the flights from dallas to san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
show me flights going from boston to denver arriving on wednesday morning	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.day_name B-arrive_time.period_of_day
what is the ap 57 restriction	O O O B-restriction_code I-restriction_code O
show me the flights from montreal to chicago	O O O O O B-fromloc.city_name O B-toloc.city_name
display all flights from dallas to boston on july thirtieth	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
what limousine service in toronto	O B-transport_type O O B-city_name
all flights from long beach to phoenix	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
what's the schedule of flights from atlanta to boston on august first	O O B-flight_time O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
please list nonstop flights from las vegas to new york on america west	O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
ground transport denver	O O B-city_name
show me flights monday night after 8 pm for dallas to boston	O O O B-depart_date.day_name B-depart_time.period_of_day B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name
i would like one flight from kansas city to st. paul arriving around dinnertime 6 pm	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.period_of_day O O
i want to fly boston to dallas	O O O O B-fromloc.city_name O B-toloc.city_name
show me the us air flights from atlanta to boston	O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name
show me the aircraft that canadian airlines uses	O O O O O B-airline_name I-airline_name O
show me flights from denver to atlanta	O O O O B-fromloc.city_name O B-toloc.city_name
show me all flights from indianapolis to montreal	O O O O O B-fromloc.city_name O B-toloc.city_name
define airline us	O O B-airline_code
i would like a flight from philadelphia to san francisco	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what sort of ground transportation is there in washington dc	O O O O O O O O B-city_name B-state_code
what flights are available between philadelphia and denver on september sixteenth	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
baltimore to philadelphia	B-fromloc.city_name O B-toloc.city_name
show me flights which leave from boston on july twenty second arriving in pittsburgh	O O O O O O B-fromloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-toloc.city_name
let's look at baltimore to philadelphia again	O O O B-fromloc.city_name O B-toloc.city_name O
show me the flights from atlanta to washington dc on wednesday night and thursday morning	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name B-depart_time.period_of_day O B-depart_date.day_name B-depart_time.period_of_day
what flights do you have in the morning of september twentieth on united airlines from pittsburgh to san francisco and a stopover in denver	O O O O O O O B-depart_time.period_of_day O B-depart_date.month_name B-depart_date.day_number O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
what is the fare from boston to oakland on united airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
what flights are there from dallas to pittsburgh on monday morning	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
please list the flights from philadelphia to toronto	O O O O O B-fromloc.city_name O B-toloc.city_name
i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day O O O B-return_date.date_relative O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day O O O O O
how much is a first class ticket from boston to san francisco	O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
morning flight from boston to philadelphia	B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
i would like a flight from washington to boston leaving at 230 on august twentieth	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time O B-depart_date.month_name B-depart_date.day_number
what flights are there from atlanta to oakland on thursday	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
show me the available flights from san francisco to boston on november twenty fourth	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
flights from newark new jersey to cleveland ohio	O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name B-toloc.state_name
what is the earliest flight from boston to oakland that serves a meal	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O B-meal
show me all canadian airlines flights from toronto	O O O B-airline_name I-airline_name O O B-fromloc.city_name
give me the cheapest flight from charlotte to long beach	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
okay for now i would like information on a flight on april twenty seventh from pittsburgh to atlanta leaving early in the morning about 8 o'clock	O O O O O O O O O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_mod O O B-depart_time.period_of_day B-depart_time.time_relative B-depart_time.time I-depart_time.time
i would like to book a flight from chicago to seattle on june fourth	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
show me all the flights from milwaukee to orlando that leave after noon on wednesday and before noon on thursday	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time O B-depart_date.day_name O B-depart_time.time_relative B-depart_time.time O B-depart_date.day_name
are there any flights between pittsburgh and baltimore using a j31 aircraft	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-aircraft_code O
all flights from denver colorado to pittsburgh pennsylvania	O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name
show me fares leaving on tuesdays from denver to go to dallas	O O O O O B-depart_date.day_name O B-fromloc.city_name O O O B-toloc.city_name
what is the last flight from dallas to boston in the evening	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day
what is the earliest nonstop flight from washington to san francisco	O O O B-flight_mod B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
please list the friday flights from houston to milwaukee on american airlines in the evening	O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.period_of_day
show me flights denver to washington on wednesday	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
what is the latest afternoon flight i can get from dallas to san francisco on first class	O O O B-flight_mod B-depart_time.period_of_day O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-class_type I-class_type
show me the lowest fare for a round trip flight from baltimore to dallas	O O O B-cost_relative O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
does midwest express have any flights from montreal to detroit	O B-airline_name O O O O O B-fromloc.city_name O B-toloc.city_name
show me all flights from denver or philadelphia or pittsburgh to baltimore	O O O O O B-fromloc.city_name B-or B-fromloc.city_name B-or B-fromloc.city_name O B-toloc.city_name
what is the lowest fare from denver to pittsburgh	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
what airlines fly from toronto to san diego	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what is the cheapest flight from denver to pittsburgh	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
show me the price of flight ea 212 from atlanta to washington	O O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name
what is the cheapest one way flight from atlanta to boston	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
what times on wednesday could i take a plane from denver to oakland	O B-flight_time O B-depart_date.day_name O O O O O O B-fromloc.city_name O B-toloc.city_name
show me the flights that go from san diego to newark by way of houston	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name
what are the flights from boston to baltimore leaving tomorrow	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.today_relative
what is hp	O O B-airline_code
i need a flight from atlanta to charlotte north carolina next monday	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name B-depart_date.date_relative B-depart_date.day_name
is there one stop with the us air boston leaving at 705 to atlanta	O O B-flight_stop I-flight_stop O O B-airline_name I-airline_name B-toloc.city_name O O B-arrive_time.time O B-toloc.city_name
find me the earliest flight from boston to atlanta on any day of the week	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O O O O
what are the flights from chicago to indianapolis	O O O O O B-fromloc.city_name O B-toloc.city_name
is there a red eye flight from san jose to nashville on wednesday the nineteenth of may	O O O B-flight_mod I-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.day_number O B-depart_date.month_name
airline code as	O O B-airline_code
give me all flights from new york city to las vegas that arrive on a sunday	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-arrive_date.day_name
show me the flights from boston to denver	O O O O O B-fromloc.city_name O B-toloc.city_name
i need a flight from tampa to montreal	O O O O O B-fromloc.city_name O B-toloc.city_name
cheapest flight from memphis to miami	B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
show me the flights on continental from indianapolis to san diego in the afternoon tomorrow	O O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day B-depart_date.today_relative
show me the fares on all flights round trip from pittsburgh to oakland	O O O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name
please list the flights from washington dc to atlanta	O O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name
i would like to fly to baltimore	O O O O O O B-toloc.city_name
show me first class flights from pittsburgh to san francisco on friday	O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
all do you have a flight from washington to boston that stops in philadelphia	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name
show me round trip fares between san francisco and washington dc	O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code
what flights depart baltimore on friday and arrive in san francisco by 8 pm	O O O B-fromloc.city_name O B-depart_date.day_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
i need a flight from new york to san francisco	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
please give me flights from atlanta to boston on wednesday morning and thursday afternoon	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O B-depart_date.day_name B-depart_time.period_of_day
show me the flights from boston to denver on august second	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
what flight from boston to atlanta arrives earliest in atlanta	O O O B-fromloc.city_name O B-toloc.city_name O B-flight_mod O B-toloc.city_name
what is the earliest flight from boston to dallas fort worth leaving august eighth	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
i want to leave philadelphia and arrive in atlanta on a thursday	O O O O B-fromloc.city_name O O O B-toloc.city_name O O B-arrive_date.day_name
show me all the flights that go from baltimore to seattle	O O O O O O O O B-fromloc.city_name O B-toloc.city_name
display all flights leaving from toronto to san diego on us air laying over in washington dc	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name O O O B-stoploc.city_name B-stoploc.state_code
i'd like to fly nonstop from atlanta to baltimore and get there at 7 pm	O O O O B-flight_stop O B-fromloc.city_name O B-toloc.city_name O O O O B-arrive_time.time I-arrive_time.time
what are your flights from denver to baltimore	O O O O O B-fromloc.city_name O B-toloc.city_name
all flights from baltimore to philadelphia less than 1000 dollars	O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
i need ground transportation in seattle	O O O O O B-city_name
all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip B-depart_time.time_relative B-depart_time.time I-depart_time.time B-cost_relative O B-fare_amount I-fare_amount
show me all flights from boston to dfw	O O O O O B-fromloc.city_name O B-toloc.airport_code
does us air have a flight from toronto to salt lake city monday may thirty first	O B-airline_name I-airline_name O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number
list all flights going from boston to atlanta before 7 o'clock am on thursday	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O B-depart_date.day_name
i need to fly from baltimore to dallas on tuesday evening	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
what is ewr	O O B-airport_code
what is the earliest morning flight leaving boston for washington	O O O B-flight_mod B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
please give all flights from dallas to oakland california monday	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name B-depart_date.day_name
do you have a united flight from boston to washington	O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name
please list the flights from new york to los angeles	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
what does fn under fare code mean	O O B-fare_basis_code O O O O
is fare code b the same as business class	O O O B-fare_basis_code O B-mod O B-class_type I-class_type
can you show me what flights are available on december sixteen going from oakland to dallas	O O O O O O O O O B-depart_date.month_name B-depart_date.day_number O O B-fromloc.city_name O B-toloc.city_name
could you please give me a one way fare from pittsburgh to atlanta	O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
